product_id,product_name,category,supplier,cost_price,retail_price,margin_pct,stock_qty,reorder_level,needs_reorder,warehouse,last_restocked,weight_kg,length_cm,width_cm,height_cm
PRD-005001,Product-5001,Clothing,Supplier-2,199.35,248.54,19.79,5558,388,False,Warehouse-B,2026-01-20,22.51,9.0,66.0,74.0
PRD-005002,Product-5002,Books,Supplier-3,166.58,335.14,50.3,2494,329,False,Warehouse-C,2026-02-21,10.42,83.0,88.0,78.0
PRD-005003,Product-5003,Home,Supplier-4,156.2,282.14,44.64,3871,358,False,Warehouse-D,2025-11-11,46.66,72.0,90.0,55.0
PRD-005004,Product-5004,Sports,Supplier-5,137.36,201.0,31.66,8243,299,False,Warehouse-E,2026-02-23,10.39,2.0,24.0,68.0
PRD-005005,Product-5005,Food,Supplier-6,31.02,45.2,31.37,7133,40,False,Warehouse-A,2025-10-05,20.5,47.0,12.0,77.0
PRD-005006,Product-5006,Toys,Supplier-7,79.48,209.08,61.99,5161,234,False,Warehouse-B,2025-12-01,24.9,50.0,61.0,32.0
PRD-005007,Product-5007,Beauty,Supplier-8,106.23,298.55,64.42,9125,249,False,Warehouse-C,2026-03-30,44.61,59.0,54.0,94.0
PRD-005009,Product-5009,Garden,Supplier-10,177.0,231.72,23.61,5753,32,False,Warehouse-E,2026-02-18,12.46,56.0,67.0,94.0
PRD-005010,Product-5010,Electronics,Supplier-11,146.03,428.4,65.91,7069,296,False,Warehouse-A,2025-10-23,29.73,50.0,17.0,49.0
PRD-005011,Product-5011,Clothing,Supplier-12,8.19,14.27,42.61,319,225,False,Warehouse-B,2025-10-11,40.03,5.0,66.0,91.0
PRD-005012,Product-5012,Books,Supplier-13,39.37,97.18,59.49,9568,196,False,Warehouse-C,2026-01-14,41.3,86.0,100.0,88.0
PRD-005013,Product-5013,Home,Supplier-14,12.29,15.85,22.46,6869,226,False,Warehouse-D,2025-11-13,23.89,98.0,5.0,31.0
PRD-005014,Product-5014,Sports,Supplier-15,25.05,44.29,43.44,8357,194,False,Warehouse-E,2025-11-18,48.66,15.0,64.0,85.0
PRD-005015,Product-5015,Food,Supplier-16,182.78,534.44,65.8,5101,251,False,Warehouse-A,2026-02-01,25.38,21.0,29.0,77.0
PRD-005017,Product-5017,Beauty,Supplier-18,43.43,104.15,58.3,3685,254,False,Warehouse-C,2026-03-11,23.69,5.0,34.0,63.0
PRD-005018,Product-5018,Auto,Supplier-19,30.5,53.34,42.82,1580,96,False,Warehouse-D,2025-10-27,18.28,41.0,92.0,61.0
PRD-005019,Product-5019,Garden,Supplier-20,21.47,51.44,58.26,1116,468,False,Warehouse-E,2025-10-18,19.39,26.0,98.0,69.0
PRD-005020,Product-5020,Electronics,Supplier-21,15.09,42.67,64.64,1452,467,False,Warehouse-A,2025-11-10,45.57,35.0,84.0,93.0
PRD-005021,Product-5021,Clothing,Supplier-22,60.14,175.53,65.74,295,80,False,Warehouse-B,2025-12-16,43.48,46.0,88.0,87.0
PRD-005022,Product-5022,Books,Supplier-23,80.05,189.7,57.8,7242,284,False,Warehouse-C,2025-11-14,24.51,32.0,90.0,25.0
PRD-005023,Product-5023,Home,Supplier-24,120.57,329.3,63.39,9280,103,False,Warehouse-D,2026-03-29,3.47,89.0,15.0,32.0
PRD-005025,Product-5025,Food,Supplier-26,51.87,125.76,58.75,8107,477,False,Warehouse-A,2025-11-06,49.73,19.0,53.0,59.0
PRD-005026,Product-5026,Toys,Supplier-27,15.89,41.69,61.89,8933,189,False,Warehouse-B,2025-10-08,36.43,92.0,11.0,6.0
PRD-005027,Product-5027,Beauty,Supplier-28,169.57,372.66,54.5,3230,279,False,Warehouse-C,2026-02-09,32.44,13.0,100.0,69.0
PRD-005028,Product-5028,Auto,Supplier-29,46.08,110.52,58.31,316,33,False,Warehouse-D,2025-12-27,33.38,69.0,23.0,87.0
PRD-005029,Product-5029,Garden,Supplier-30,51.02,126.31,59.61,2439,183,False,Warehouse-E,2025-11-26,44.75,53.0,79.0,56.0
PRD-005030,Product-5030,Electronics,Supplier-31,93.72,239.67,60.9,1,60,True,Warehouse-A,2026-02-09,15.1,22.0,80.0,61.0
PRD-005031,Product-5031,Clothing,Supplier-32,189.56,550.13,65.54,9322,144,False,Warehouse-B,2026-02-17,22.18,38.0,64.0,88.0
PRD-005033,Product-5033,Home,Supplier-34,105.54,190.01,44.46,1124,176,False,Warehouse-D,2026-01-17,13.17,19.0,11.0,65.0
PRD-005034,Product-5034,Sports,Supplier-35,152.13,369.53,58.83,7151,172,False,Warehouse-E,2025-11-11,14.45,90.0,44.0,9.0
PRD-005035,Product-5035,Food,Supplier-36,150.86,209.86,28.11,2519,480,False,Warehouse-A,2026-02-26,40.28,70.0,71.0,35.0
PRD-005036,Product-5036,Toys,Supplier-37,163.6,377.24,56.63,7464,242,False,Warehouse-B,2026-02-24,45.67,35.0,68.0,28.0
PRD-005037,Product-5037,Beauty,Supplier-38,187.51,346.7,45.92,7725,146,False,Warehouse-C,2026-02-02,3.29,26.0,45.0,57.0
PRD-005038,Product-5038,Auto,Supplier-39,176.04,510.94,65.55,7268,70,False,Warehouse-D,2026-02-10,14.4,62.0,53.0,82.0
PRD-005039,Product-5039,Garden,Supplier-40,178.66,305.43,41.51,2639,494,False,Warehouse-E,2025-12-06,18.11,33.0,65.0,49.0
PRD-005041,Product-5041,Clothing,Supplier-42,38.15,76.52,50.14,1739,225,False,Warehouse-B,2025-11-06,1.2,51.0,35.0,85.0
PRD-005042,Product-5042,Books,Supplier-43,157.9,353.97,55.39,9904,360,False,Warehouse-C,2026-03-02,33.15,92.0,98.0,44.0
PRD-005043,Product-5043,Home,Supplier-44,132.56,364.75,63.66,8538,119,False,Warehouse-D,2026-03-14,44.19,17.0,22.0,17.0
PRD-005044,Product-5044,Sports,Supplier-45,109.02,185.19,41.13,7899,433,False,Warehouse-E,2026-03-28,1.69,64.0,29.0,43.0
PRD-005045,Product-5045,Food,Supplier-46,131.04,328.96,60.17,5211,152,False,Warehouse-A,2026-02-04,40.53,54.0,100.0,88.0
PRD-005046,Product-5046,Toys,Supplier-47,129.53,221.58,41.54,9112,31,False,Warehouse-B,2026-01-19,7.55,100.0,35.0,86.0
PRD-005047,Product-5047,Beauty,Supplier-48,138.64,242.75,42.89,3342,32,False,Warehouse-C,2025-10-23,32.94,57.0,40.0,89.0
PRD-005049,Product-5049,Garden,Supplier-50,20.44,45.23,54.81,6348,145,False,Warehouse-E,2025-11-17,47.44,26.0,51.0,91.0
PRD-005050,Product-5050,Electronics,Supplier-51,173.97,325.07,46.48,9279,161,False,Warehouse-A,2026-01-19,6.29,48.0,45.0,93.0
PRD-005051,Product-5051,Clothing,Supplier-52,169.99,465.76,63.5,1637,414,False,Warehouse-B,2025-11-21,26.64,78.0,80.0,30.0
PRD-005052,Product-5052,Books,Supplier-53,54.76,70.28,22.08,4385,334,False,Warehouse-C,2026-04-01,44.85,75.0,5.0,55.0
PRD-005053,Product-5053,Home,Supplier-54,46.14,58.33,20.9,3101,365,False,Warehouse-D,2025-12-20,49.88,97.0,3.0,92.0
PRD-005054,Product-5054,Sports,Supplier-55,19.46,47.53,59.06,7349,35,False,Warehouse-E,2025-10-30,15.79,57.0,49.0,16.0
PRD-005055,Product-5055,Food,Supplier-56,65.56,93.46,29.85,1014,465,False,Warehouse-A,2026-03-03,41.8,100.0,77.0,81.0
PRD-005057,Product-5057,Beauty,Supplier-58,43.02,59.63,27.86,47,106,True,Warehouse-C,2026-01-14,7.07,31.0,42.0,67.0
PRD-005058,Product-5058,Auto,Supplier-59,108.68,182.26,40.37,8084,484,False,Warehouse-D,2026-03-31,11.56,26.0,73.0,78.0
PRD-005059,Product-5059,Garden,Supplier-60,191.7,345.36,44.49,9301,214,False,Warehouse-E,2026-01-20,0.27,62.0,48.0,18.0
PRD-005060,Product-5060,Electronics,Supplier-61,130.76,252.61,48.24,525,310,False,Warehouse-A,2025-10-04,41.61,84.0,40.0,83.0
PRD-005061,Product-5061,Clothing,Supplier-62,72.86,206.62,64.74,8102,157,False,Warehouse-B,2025-10-05,49.18,19.0,10.0,38.0
PRD-005062,Product-5062,Books,Supplier-63,92.29,196.7,53.08,2387,33,False,Warehouse-C,2025-11-17,41.31,85.0,5.0,73.0
PRD-005063,Product-5063,Home,Supplier-64,98.18,290.35,66.19,9955,303,False,Warehouse-D,2026-03-03,45.59,39.0,28.0,84.0
PRD-005065,Product-5065,Food,Supplier-66,191.31,421.32,54.59,8998,430,False,Warehouse-A,2026-03-29,2.4,12.0,44.0,26.0
PRD-005066,Product-5066,Toys,Supplier-67,167.26,443.76,62.31,8697,445,False,Warehouse-B,2025-10-09,0.88,87.0,32.0,27.0
PRD-005067,Product-5067,Beauty,Supplier-68,4.4,9.2,52.17,1747,104,False,Warehouse-C,2025-12-29,7.71,27.0,18.0,39.0
PRD-005068,Product-5068,Auto,Supplier-69,154.39,222.85,30.72,262,259,False,Warehouse-D,2026-03-24,37.83,82.0,76.0,23.0
PRD-005069,Product-5069,Garden,Supplier-70,181.69,536.43,66.13,3412,319,False,Warehouse-E,2025-10-24,24.96,49.0,50.0,94.0
PRD-005070,Product-5070,Electronics,Supplier-71,31.4,63.9,50.86,5186,486,False,Warehouse-A,2025-11-21,16.57,92.0,20.0,23.0
PRD-005071,Product-5071,Clothing,Supplier-72,130.74,388.44,66.34,2278,12,False,Warehouse-B,2025-12-10,25.38,63.0,49.0,3.0
PRD-005073,Product-5073,Home,Supplier-74,44.61,93.17,52.12,5313,232,False,Warehouse-D,2026-02-06,27.43,84.0,4.0,42.0
